,from,to,distance,img_filename_from,error_code_from,is_valid_from,img_filename_to,error_code_to,is_valid_to
9354,1650,317,0.925315,ajio/346/346_2.jpg,VALID,True,ajio/146/146_3.jpg,VALID,True
9355,507,1297,0.925306,ajio/175/175_2.jpg,VALID,True,ajio/293/293_3.jpg,VALID,True
9356,1297,507,0.925306,ajio/293/293_3.jpg,VALID,True,ajio/175/175_2.jpg,VALID,True
9357,2352,2236,0.925301,ajio/453/453_4.jpg,VALID,True,ajio/436/436_1.jpg,VALID,True
9358,3010,3575,0.925297,ajio/553/553_1.jpg,VALID,True,myntra/17195838/17195838_2.jpg,VALID,True
9359,3359,812,0.925278,myntra/13225548/13225548_2.jpg,VALID,True,ajio/221/221_0.jpg,VALID,True
9360,812,3359,0.925278,ajio/221/221_0.jpg,VALID,True,myntra/13225548/13225548_2.jpg,VALID,True
9361,1750,2850,0.925274,ajio/362/362_3.jpg,VALID,True,ajio/529/529_3.jpg,VALID,True
9362,2850,1750,0.925274,ajio/529/529_3.jpg,VALID,True,ajio/362/362_3.jpg,VALID,True
9363,1406,3960,0.925258,ajio/312/312_0.jpg,VALID,True,myntra/19906200/19906200_3.jpg,VALID,True
9364,2661,1031,0.925244,ajio/501/501_0.jpg,VALID,True,ajio/253/253_0.jpg,VALID,True
9365,1031,2661,0.925244,ajio/253/253_0.jpg,VALID,True,ajio/501/501_0.jpg,VALID,True
9366,1183,3337,0.925242,ajio/276/276_2.jpg,VALID,True,myntra/13159482/13159482_0.jpg,VALID,True
9367,3224,2624,0.92524,ajio/84/84_0.jpg,VALID,True,ajio/495/495_0.jpg,VALID,True
9368,429,3152,0.925225,ajio/162/162_7.jpg,VALID,True,ajio/71/71_5.jpg,VALID,True
9369,1175,40,0.925223,ajio/275/275_0.jpg,VALID,True,ajio/105/105_0.jpg,VALID,True
9370,3788,823,0.925221,myntra/19906062/19906062_3.jpg,VALID,True,ajio/222/222_2.jpg,VALID,True
9371,1831,787,0.925211,ajio/374/374_6.jpg,VALID,True,ajio/216/216_7.jpg,VALID,True
9372,787,1831,0.925211,ajio/216/216_7.jpg,VALID,True,ajio/374/374_6.jpg,VALID,True
9373,161,2922,0.925206,ajio/123/123_3.jpg,VALID,True,ajio/540/540_3.jpg,VALID,True
9374,2922,161,0.925206,ajio/540/540_3.jpg,VALID,True,ajio/123/123_3.jpg,VALID,True
9375,363,3730,0.925203,ajio/153/153_1.jpg,VALID,True,myntra/19840256/19840256_1.jpg,VALID,True
9376,3730,363,0.925203,myntra/19840256/19840256_1.jpg,VALID,True,ajio/153/153_1.jpg,VALID,True
9377,454,3786,0.925196,ajio/167/167_1.jpg,VALID,True,myntra/19906062/19906062_1.jpg,VALID,True
9378,3786,454,0.925196,myntra/19906062/19906062_1.jpg,VALID,True,ajio/167/167_1.jpg,VALID,True
9379,1268,1384,0.925184,ajio/290/290_0.jpg,VALID,True,ajio/308/308_0.jpg,VALID,True
9380,2713,2583,0.925169,ajio/508/508_3.jpg,VALID,True,ajio/489/489_2.jpg,VALID,True
9381,304,2237,0.925169,ajio/144/144_2.jpg,VALID,True,ajio/436/436_2.jpg,VALID,True
9382,6,898,0.925167,ajio/100/100_0.jpg,VALID,True,ajio/233/233_0.jpg,VALID,True
9383,1747,1749,0.925157,ajio/362/362_0.jpg,VALID,True,ajio/362/362_2.jpg,VALID,True
9384,1749,1747,0.925157,ajio/362/362_2.jpg,VALID,True,ajio/362/362_0.jpg,VALID,True
9385,3794,3547,0.925152,myntra/19906068/19906068_1.jpg,VALID,True,myntra/17195820/17195820_2.jpg,VALID,True
9386,2063,4010,0.925149,ajio/409/409_2.jpg,VALID,True,myntra/19906234/19906234_1.jpg,VALID,True
9387,4010,2063,0.925149,myntra/19906234/19906234_1.jpg,VALID,True,ajio/409/409_2.jpg,VALID,True
9388,3096,2882,0.925148,ajio/63/63_2.jpg,VALID,True,ajio/53/53_1.jpg,VALID,True
9389,4081,4091,0.92514,myntra/21431640/21431640_3.jpg,VALID,True,myntra/21431648/21431648_1.jpg,VALID,True
9390,2092,1744,0.925139,ajio/41/41_3.jpg,VALID,True,ajio/361/361_3.jpg,VALID,True
9391,1744,2092,0.925139,ajio/361/361_3.jpg,VALID,True,ajio/41/41_3.jpg,VALID,True
9392,113,48,0.925136,ajio/116/116_0.jpg,VALID,True,ajio/106/106_0.jpg,VALID,True
9393,822,3797,0.925133,ajio/222/222_1.jpg,VALID,True,myntra/19906070/19906070_0.jpg,VALID,True
9394,17,3848,0.925124,ajio/101/101_0.jpg,VALID,True,myntra/19906120/19906120_3.jpg,VALID,True
9395,3848,17,0.925124,myntra/19906120/19906120_3.jpg,VALID,True,ajio/101/101_0.jpg,VALID,True
9396,704,3497,0.92507,ajio/204/204_2.jpg,VALID,True,myntra/15516660/15516660_0.jpg,VALID,True
9397,2289,28,0.925069,ajio/44/44_0.jpg,VALID,True,ajio/103/103_0.jpg,VALID,True
9398,910,3497,0.925051,ajio/235/235_1.jpg,VALID,True,myntra/15516660/15516660_0.jpg,VALID,True
9399,1268,2541,0.92505,ajio/290/290_0.jpg,VALID,True,ajio/483/483_1.jpg,VALID,True
9400,4025,4023,0.92503,myntra/19978342/19978342_3.jpg,VALID,True,myntra/19978342/19978342_1.jpg,VALID,True
9401,4023,4025,0.92503,myntra/19978342/19978342_1.jpg,VALID,True,myntra/19978342/19978342_3.jpg,VALID,True
9402,577,693,0.925023,ajio/185/185_2.jpg,VALID,True,ajio/202/202_3.jpg,VALID,True
9403,1071,1190,0.92502,ajio/260/260_2.jpg,VALID,True,ajio/277/277_3.jpg,VALID,True
9404,1737,3465,0.925011,ajio/360/360_1.jpg,VALID,True,myntra/14705386/14705386_0.jpg,VALID,True
9405,3465,1737,0.925011,myntra/14705386/14705386_0.jpg,VALID,True,ajio/360/360_1.jpg,VALID,True
9406,1427,3977,0.925003,ajio/314/314_2.jpg,VALID,True,myntra/19906212/19906212_0.jpg,VALID,True
9407,789,617,0.924994,ajio/217/217_1.jpg,VALID,True,ajio/19/19_2.jpg,VALID,True
9408,3195,177,0.924991,ajio/78/78_3.jpg,VALID,True,ajio/126/126_3.jpg,VALID,True
9409,177,3195,0.924991,ajio/126/126_3.jpg,VALID,True,ajio/78/78_3.jpg,VALID,True
9410,2224,3178,0.924987,ajio/434/434_0.jpg,VALID,True,ajio/76/76_2.jpg,VALID,True
9411,2630,3620,0.924978,ajio/496/496_0.jpg,VALID,True,myntra/17409984/17409984_3.jpg,VALID,True
9412,3620,2630,0.924978,myntra/17409984/17409984_3.jpg,VALID,True,ajio/496/496_0.jpg,VALID,True
9413,3289,3288,0.924969,ajio/93/93_2.jpg,VALID,True,ajio/93/93_1.jpg,VALID,True
9414,3419,3064,0.924969,myntra/14140946/14140946_2.jpg,VALID,True,ajio/58/58_0.jpg,VALID,True
9415,3064,3419,0.924969,ajio/58/58_0.jpg,VALID,True,myntra/14140946/14140946_2.jpg,VALID,True
9416,2603,3094,0.924958,ajio/492/492_0.jpg,VALID,True,ajio/63/63_0.jpg,VALID,True
